MP, MT, MS, Oczekiwana, a, b, BMP, BMT, BMS
13.346540600923213, 13.346540600923088, 13.349051341978, 13.36489277982672, 3.0, 1.0, 0.018352178903507266, 0.01835217890363161, 0.015841437848719053
43.804082503721276, 43.80408250372103, 43.81160159654485, 43.859097438351625, 10.0, 3.0, 0.0550149346303499, 0.05501493463059859, 0.04749584180677857
28.795984267417822, 28.79598426741758, 28.79844295704319, 28.814074420978923, 7.0, 1.0, 0.018090153561100664, 0.018090153561342248, 0.015631463935733336
41.23869873737718, 41.23869873737761, 41.259035791536235, 41.386276071791066, 5.0, 8.0, 0.14757733441388865, 0.14757733441345522, 0.12724028025483136
28.287978975025535, 28.287978975026007, 28.298114319021597, 28.361667888974296, 5.0, 4.0, 0.07368891394876087, 0.07368891394828836, 0.06355356995269901
20.91772379760637, 20.917723797606516, 20.930462733595853, 21.010026651559343, 1.0, 5.0, 0.09230285395297244, 0.09230285395282678, 0.07956391796349038
41.83544759521274, 41.83544759521303, 41.860925467191706, 42.02005330311869, 2.0, 10.0, 0.18460570790594488, 0.18460570790565356, 0.15912783592698077
22.920831822027527, 22.9208318220277, 22.93355744391558, 23.013112450392704, 2.0, 5.0, 0.09228062836517736, 0.09228062836500328, 0.07955500647712554
50.86951607433869, 50.86951607433764, 50.8949407155542, 51.053997725577524, 6.0, 10.0, 0.18448165123883342, 0.18448165123988503, 0.15905701002332506
53.694784039222554, 53.69478403922295, 53.71250433186911, 53.823689814681586, 10.0, 7.0, 0.1289057754590317, 0.1289057754586338, 0.11118548281247342
43.8532717579244, 43.85327175792574, 43.87103181704194, 43.982297150257104, 7.0, 7.0, 0.12902539233270716, 0.12902539233136423, 0.11126533321516519
28.269466989117305, 28.26946698911701, 28.282166021266185, 28.361667888974296, 4.0, 5.0, 0.09220089985699076, 0.09220089985728563, 0.0795018677081103
30.372565632682818, 30.37256563268292, 30.390392152409316, 30.50178748301344, 2.0, 7.0, 0.12922185033062306, 0.12922185033052003, 0.11139533060412532
34.16598990382904, 34.16598990382918, 34.186366873848435, 34.313678524843816, 2.0, 8.0, 0.14768862101477254, 0.14768862101463753, 0.1273116509953809
7.640395578055432, 7.640395578055434, 7.6403955780554575, 7.6404, 0, 0, 4.42194456784506E-6, 4.421944566068703E-6, 4.4219445420878856E-6
